 80 0x01F0 0x021A 0x0200 42 01.04
 81 0x01EB 0x0226 0x0203 59 01.86
 82 0x0043 0x0400 0x0201 957 10.16
 83 0x002A 0x0400 0x0203 982 13.70
 84 0x01F5 0x0209 0x01FF 20 02.03
 85 0x01FE 0x0209 0x0203 11 01.20
 86 0x01F9 0x0207 0x0200 14 01.61
 87 0x01FE 0x0209 0x0202 11 01.34
 88 0x01FD 0x0207 0x0201 10 01.02
 89 0x0200 0x020E 0x0203 14 01.86
 8A 0x01FD 0x0208 0x0201 11 01.18
 8B 0x01F9 0x0212 0x0203 25 01.60
 8C 0x01F3 0x0204 0x01FD 17 02.10
 8D 0x01FE 0x0208 0x0202 10 01.17
 8E 0x01FA 0x0209 0x0202 15 01.66
 8F 0x01FE 0x0209 0x0202 11 01.25
 90 0x01FB 0x0204 0x01FF 09 01.03
 91 0x0200 0x020D 0x0203 13 01.70
 92 0x01FE 0x0208 0x0201 10 01.17
 93 0x01FF 0x020B 0x0203 12 01.49
 94 0x01F3 0x0204 0x01FE 17 02.07
 95 0x01FE 0x0208 0x0202 10 01.15
 96 0x01F7 0x0207 0x0200 16 01.80
 97 0x01FE 0x0209 0x0202 11 01.30
 98 0x01FD 0x0207 0x0200 10 01.14
 99 0x0200 0x020D 0x0203 13 01.70
 9A 0x01FE 0x020A 0x0202 12 01.31
 9B 0x01FE 0x020C 0x0201 14 01.85
 9C 0x01F3 0x0203 0x01FD 16 01.92
 9D 0x01FD 0x0207 0x0201 10 01.16
 9E 0x01F6 0x0204 0x01FE 14 01.66
 9F 0x01FD 0x0208 0x0201 11 01.20
 A0 0x0200 0x020B 0x0203 11 01.48
 A1 0x0202 0x0210 0x0206 14 01.86
 A2 0x01FE 0x020A 0x0202 12 01.62
 A3 0x01FF 0x020B 0x0203 12 01.68
 A4 0x01F5 0x0204 0x01FE 15 01.87
 A5 0x01FE 0x0209 0x0202 11 01.38
 A6 0x01F4 0x0202 0x01FC 14 01.84
 A7 0x01FD 0x0208 0x0201 11 01.37
 A8 0x01FE 0x0209 0x0202 11 01.15
 A9 0x01FF 0x020D 0x0202 14 01.81
 AA 0x01FF 0x020C 0x0203 13 01.41
 AB 0x01FE 0x020C 0x0202 14 01.85
 AC 0x01F4 0x0205 0x01FF 17 02.09
 AD 0x01FB 0x0208 0x0200 13 01.49
 AE 0x01F7 0x0207 0x0201 16 01.95
 AF 0x01FD 0x0208 0x0201 11 01.42
 B0 0x01FE 0x0209 0x0201 11 01.11
 B1 0x01FF 0x020A 0x0202 11 01.35
 B2 0x01FE 0x0209 0x0201 11 01.40
 B3 0x01FE 0x0209 0x0202 11 01.40
 B4 0x01F5 0x0206 0x01FF 17 02.13
 B5 0x01FA 0x0207 0x0200 13 01.34
 B6 0x01F5 0x0204 0x01FE 15 01.97
 B7 0x01FB 0x0205 0x01FF 10 01.22
 B8 0x01FF 0x0209 0x0202 10 01.09
 B9 0x0200 0x020A 0x0203 10 01.18
 BA 0x01FF 0x020C 0x0203 13 01.56
 BB 0x0201 0x020D 0x0204 12 01.59
 BC 0x01F6 0x0204 0x01FE 14 01.89
 BD 0x01F8 0x0206 0x01FF 14 01.48
 BE 0x01F7 0x0206 0x01FF 15 01.91
 BF 0x01FD 0x0209 0x0202 12 01.31
 C0 0x01FD 0x0207 0x0201 10 01.10
 C1 0x0200 0x020A 0x0203 10 01.25
 C2 0x01FE 0x020A 0x0201 12 01.50
 C3 0x0200 0x020C 0x0204 12 01.51
 C4 0x01F8 0x0205 0x01FF 13 01.76
 C5 0x01FC 0x0207 0x0201 11 01.26
 C6 0x01F6 0x0204 0x01FD 14 01.86
 C7 0x01FC 0x0206 0x0200 10 01.11
 C8 0x01FD 0x0206 0x0200 09 01.00
